joint,angle_bin_deg,samples,source_curves,angle_deg,shape_factor,shape_factor_q25,shape_factor_q75,reference_rate_per_command,direction,universal_rate_per_command,shape_factor_raw,universal_rate_per_command_raw
boom,6.0,152,6,6.0109829999999995,0.9591719338021192,0.9343966314220646,0.9452461888825577,15.620879166666668,0,14.983108877980904,0.9438942533547923,14.744458077766264
boom,8.0,154,6,7.9947465,0.9617090832751275,0.9436601022894829,0.9579576088559968,15.620879166666668,0,15.022741383326538,0.9540134801872062,14.902529297375494
boom,10.0,149,6,9.9636745,0.9651794682412862,0.9581663920656158,0.9685195267498825,15.620879166666668,0,15.076951847544722,0.9623701460120984,15.033067764462347
boom,12.0,155,6,11.997670750000001,0.9695716633779684,0.9504067172244037,0.9663469155215129,15.620879166666668,0,15.145561797051254,0.954344911540424,14.907706546496154
boom,14.0,149,6,14.003813000000001,0.9744868472603401,0.957054303639996,0.9823964162179135,15.620879166666668,0,15.22234129055973,0.9764601633827275,15.253166223265179
boom,16.0,150,6,15.9885905,0.9796905998083334,0.9726295301202927,0.98746979444609,15.620879166666668,0,15.303628480325168,0.9797215752239521,15.304112343549685
boom,18.0,149,6,17.98711375,0.9850506186437702,0.9778106966582629,0.9970279217176339,15.620879166666668,0,15.387356686884583,0.9847372578856701,15.382461716346727
boom,20.0,145,6,19.99825,0.9903645975255307,1.0012300198081807,1.0125660588937608,15.620879166666668,0,15.470365708890784,1.006191784285199,15.717600280811828
boom,22.0,125,6,21.94161025,0.9952661216010293,0.993854504983182,1.0267998540224557,15.620879166666668,0,15.546931824206654,1.0101672748816601,15.779700939047366
boom,24.0,76,4,23.90634,0.9998708442109228,1.0269997071802797,1.0412459410723585,16.354448166666668,0,16.35233589500878,1.036242397623766,16.947172580040274
boom,26.0,63,3,26.017671,1.0043372196529503,1.031838683688755,1.0496259890854778,17.030573,0,17.104438335916605,1.0346845053305018,17.62127
boom,28.0,73,3,28.346663,1.008625603931559,1.0189103067863021,1.0259919981309613,17.030573,0,17.177471977425505,1.0194261956523951,17.3614122431704
bucket,-116.0,21,3,-115.91552,1.105885730962736,1.1921529211096402,1.2307670709145944,44.76373666666667,0,49.50357764424009,1.2148638139584584,54.38184385389876
bucket,-114.0,21,3,-113.958473,1.0930044865200743,1.1507604930888409,1.1706988176904467,44.76373666666667,0,48.92696501006982,1.1568558359106305,51.78519000000001
bucket,-112.0,21,3,-112.0055545,1.0787269560416324,1.114660458658836,1.154870406121129,44.76373666666667,0,48.28784939548254,1.1500555283171556,51.48078282163336
bucket,-110.0,23,3,-110.123131,1.0637293068109632,1.0672307996934107,1.0840973745490834,44.76373666666667,0,47.61649857470183,1.0783893888527143,48.27273862673051
bucket,-108.0,23,3,-107.999428,1.0456598159413848,1.0494757183014833,1.0883554626203287,44.76373666666667,0,46.80764064371528,1.0834615918096997,48.49978938421689
bucket,-106.0,25,3,-105.9448395,1.0275217583548162,1.001910833496386,1.0443927268741477,44.76373666666667,0,45.99571341026529,1.0314369889486912,46.17097376155879
bucket,-104.0,25,3,-104.042801,1.010725950766038,0.9995661312225654,1.012702286345566,44.76373666666667,0,45.24387030225722,1.009537299379417,45.19066182459805
bucket,-102.0,23,3,-102.029789,0.9935776445976671,0.9639961085028452,0.996700501441147,44.76373666666667,0,44.47624804065689,0.9934010028822939,44.46834089742558
bucket,-100.0,31,4,-99.9905755,0.9774485445880017,0.9317447790491922,0.9764000121123664,47.205195208333336,0,46.14064935337793,0.9602165109277978,45.327207840611436
bucket,-98.0,31,5,-98.018333,0.9634326184212608,0.9296158698696662,0.9792734268621277,49.64665375,0,47.83120561821621,0.9511439880201399,47.22111623963003
bucket,-96.0,47,6,-95.9434205,0.9505559029699132,0.9152616784026874,0.9430117083944238,48.549629124999996,0,46.14913655176877,0.9317973421116768,45.23841537918265
bucket,-94.0,48,6,-93.9782395,0.940110961483528,0.9098291166998478,0.9479661159561389,48.549629124999996,0,45.64203851637244,0.9401582810946942,45.6443358659449
bucket,-92.0,47,6,-91.9224855,0.930863925538848,0.9030906164403601,0.9493874021291411,48.549629124999996,0,45.193098350752685,0.9354477035676678,45.415639074043206
bucket,-90.0,50,6,-89.9723815,0.9235091985375649,0.9008778600998651,0.9221700959147809,48.549629124999996,0,44.83602908252476,0.9122511962360298,44.28945724609684
bucket,-88.0,47,6,-88.02029425,0.9173871755578311,0.8956839761126895,0.9205573686642309,48.549629124999996,0,44.53880713736396,0.9132468795169624,44.33779730011208
bucket,-86.0,51,6,-86.07698625,0.9124402068931637,0.8949620361976478,0.9062392459521244,48.549629124999996,0,44.29863364340137,0.9000733042294519,43.69822510565318
bucket,-84.0,52,6,-83.95080575,0.9083080732343995,0.8855119737621613,0.9037885066001504,48.549629124999996,0,44.09802008677343,0.8978622703922042,43.59088023287198
