joint,amplitude,direction,angle_bin_deg,samples,angle_deg,forward_vel_deg_s,rate_per_command
arm,0.6,1,128.0,9,128.260742,30.418322,50.697203333333334
arm,0.6,1,132.0,9,132.080078,32.272694,53.787823333333336
arm,0.6,1,134.0,9,133.833908,29.721922,49.53653666666667
arm,0.6,1,136.0,9,135.941666,33.244137,55.406895000000006
arm,0.6,1,138.0,9,137.943497,34.9067,58.17783333333334
arm,0.6,1,140.0,8,140.10813100000001,34.626295,57.71049166666667
arm,0.8,-1,28.0,33,28.773851,1.429018,1.7862724999999997
arm,0.8,-1,30.0,36,29.4461115,5.108164,6.385205000000001
arm,0.8,-1,34.0,7,34.135616,32.937897,41.17237125
arm,0.8,-1,36.0,8,35.790285,34.184206,42.73025749999999
arm,0.8,-1,38.0,9,37.836502,32.49036,40.61295
arm,0.8,-1,40.0,9,40.055138,33.188259,41.48532375
arm,0.8,-1,42.0,9,42.047119,32.053295,40.066618749999996
arm,0.8,-1,44.0,9,43.974491,31.566401,39.458001249999995
arm,0.8,-1,46.0,9,46.07275,31.358154,39.197692499999995
arm,0.8,-1,48.0,9,47.911438,29.261065,36.576331249999996
arm,0.8,-1,50.0,9,49.910278,29.717045,37.146306249999995
arm,0.8,-1,52.0,10,51.800917,29.407594500000002,36.75949312499999
arm,0.8,-1,54.0,11,54.166252,29.895275,37.36909375
arm,0.8,-1,56.0,9,56.131542,29.320787,36.650983749999995
arm,0.8,-1,58.0,9,57.9534,29.02248,36.2781
arm,0.8,-1,60.0,10,59.854462,27.817021500000003,34.771276875
arm,0.8,-1,62.0,10,61.926439,28.964184,36.20523
arm,0.8,-1,64.0,10,63.952012999999994,28.865993500000002,36.082491875
arm,0.8,-1,66.0,10,65.88878249999999,28.593458,35.7418225
arm,0.8,-1,68.0,11,68.133224,28.481628,35.602035
arm,0.8,-1,70.0,9,70.021088,28.83609,36.045112499999995
arm,0.8,-1,72.0,11,71.95092,28.478085,35.59760625
arm,0.8,-1,74.0,10,74.11071799999999,28.6312535,35.789066875
arm,0.8,-1,76.0,9,76.003265,29.250008,36.562509999999996
arm,0.8,-1,78.0,10,77.8749315,29.209919,36.51239875
arm,0.8,-1,80.0,10,79.9508285,29.097313,36.371641249999996
arm,0.8,-1,82.0,10,82.0501405,29.8503655,37.312956875
arm,0.8,-1,84.0,9,83.963989,29.90831,37.3853875
arm,0.8,-1,86.0,10,85.9052125,30.732622,38.4157775
arm,0.8,-1,88.0,9,87.785454,30.968779,38.71097375
arm,0.8,-1,90.0,9,89.860489,29.200857,36.501071249999995
arm,0.8,-1,92.0,11,92.273514,31.334255,39.167818749999995
arm,0.8,-1,94.0,8,94.162254,32.751464999999996,40.939331249999995
arm,0.8,-1,96.0,10,96.24495300000001,31.231698,39.0396225
arm,0.8,-1,98.0,8,98.2430455,34.6824915,43.353114375
arm,0.8,-1,100.0,8,100.020302,33.859873,42.32484125
